Date,Open,High,Low,Close,Volume
09/21/2006,53.9700,54.5400,53.1300,53.4900,"1,974,800"
09/22/2006,53.4900,53.5700,52.7900,53.5100,"1,854,900"
09/25/2006,53.9000,55.1100,53.7000,54.9400,"3,984,000"
09/26/2006,54.9500,55.8200,54.7100,55.6000,"2,373,300"
09/27/2006,55.4500,55.6400,54.9400,55.1100,"1,547,500"
09/28/2006,55.3600,55.6700,54.9000,55.2600,"2,268,200"
09/29/2006,55.6000,56.3100,55.5500,55.9100,"2,937,500"
10/02/2006,55.7200,55.8700,54.4000,54.5200,"2,209,400"
10/03/2006,54.6600,56.1500,54.6600,55.7300,"3,795,800"
10/04/2006,55.7500,57.1300,55.6000,57.1300,"4,600,700"
10/05/2006,57.1300,57.5100,56.8200,57.4200,"2,645,900"
10/06/2006,57.3000,57.6800,57.0300,57.6300,"2,430,500"
10/09/2006,57.6400,58.1600,57.4700,57.9200,"2,010,300"
10/10/2006,57.7500,58.1700,57.1800,57.2500,"2,461,200"
10/11/2006,57.3000,58.2000,56.9800,58.0900,"5,385,100"
10/12/2006,58.4800,58.7322,58.1700,58.5900,"2,426,400"
10/13/2006,58.6000,58.8400,57.7500,58.2400,"2,124,800"
10/16/2006,58.2400,58.7700,58.2100,58.6900,"2,478,200"
10/17/2006,57.9000,58.7200,57.1000,58.5000,"2,320,400"
10/18/2006,58.9500,60.1700,58.6400,59.8400,"16,726,400"
10/19/2006,59.4800,59.4900,58.7400,59.0000,"2,519,000"
10/20/2006,59.0100,59.0100,57.9800,58.9200,"2,460,300"
10/23/2006,58.5300,58.9000,58.4500,58.7800,"2,680,400"
10/24/2006,58.4200,58.6900,57.9415,58.5400,"2,927,200"
10/25/2006,58.7100,59.3100,58.4000,59.1800,"1,818,200"
10/26/2006,59.1200,60.0000,58.5700,59.8900,"2,374,500"
10/27/2006,59.4500,59.6900,59.0148,59.4200,"2,045,800"
10/30/2006,59.3900,59.8100,59.1800,59.5700,"1,760,300"
10/31/2006,59.6000,59.9900,59.1000,59.2600,"15,482,800"
11/01/2006,59.2600,59.2600,57.9300,58.3300,"4,210,500"
11/02/2006,58.3300,58.5000,57.8600,58.4200,"3,359,500"
11/03/2006,58.8200,58.9700,58.1000,58.3000,"1,326,600"
