Date,Open,High,Low,Close,Volume
06/22/2007,50.24,51.16,50.10,51.16,"387,178"
06/25/2007,50.33,50.75,49.83,50.56,"746,998"
06/26/2007,49.87,51.07,49.83,50.89,"991,648"
06/27/2007,50.01,50.89,49.87,50.10,"586,330"
06/28/2007,50.15,51.67,50.15,51.67,"2,233,240"
06/29/2007,51.49,51.49,50.33,50.66,"858,350"
07/02/2007,50.52,50.52,49.18,50.29,"705,277"
07/03/2007,50.70,51.63,50.47,51.21,"708,340"
07/04/2007,51.16,51.67,50.84,51.58,"548,710"
07/05/2007,51.26,51.49,50.29,50.70,"579,301"
07/06/2007,50.56,52.64,50.56,52.59,"1,714,026"
07/09/2007,51.76,52.87,51.30,51.40,"756,912"
07/10/2007,51.21,51.21,50.29,51.12,"1,245,393"
07/11/2007,50.70,52.41,50.61,52.09,"1,045,857"
07/12/2007,51.81,52.27,51.21,52.09,"679,125"
07/13/2007,52.41,52.78,52.23,52.27,"1,722,435"
07/16/2007,52.13,52.59,52.00,52.55,"931,563"
07/17/2007,52.18,53.06,51.76,52.50,"612,011"
07/18/2007,51.86,52.04,51.49,51.81,"1,139,413"
07/19/2007,51.76,52.59,51.67,52.59,"1,680,272"
07/20/2007,52.32,52.96,52.13,52.36,"710,848"
07/23/2007,52.23,54.67,52.23,54.12,"1,142,005"
07/24/2007,53.52,54.62,53.52,53.98,"1,166,559"
07/25/2007,53.70,53.70,52.46,53.47,"912,052"
07/26/2007,53.15,54.07,51.30,51.72,"1,559,738"
07/27/2007,51.40,52.36,50.61,50.75,"1,214,784"
07/30/2007,50.84,51.53,50.84,51.12,"700,278"
07/31/2007,51.86,54.44,51.72,54.44,"1,230,594"
08/01/2007,52.04,53.15,51.21,52.59,"1,663,588"
08/02/2007,52.69,53.29,50.75,51.03,"1,005,462"
08/03/2007,51.67,51.81,49.64,49.64,"881,564"
08/06/2007,49.00,50.01,48.35,48.35,"755,130"
08/07/2007,49.04,50.56,49.04,49.78,"820,961"
08/08/2007,49.37,49.46,48.17,48.63,"1,627,808"
08/09/2007,48.77,49.18,47.29,48.67,"802,078"
08/10/2007,47.80,47.80,46.60,47.24,"1,339,938"
08/13/2007,47.29,48.95,47.24,48.90,"1,275,903"
08/14/2007,48.44,48.86,47.70,47.98,"1,034,760"
08/16/2007,45.72,47.20,44.68,44.68,"2,405,693"
08/17/2007,44.75,47.43,43.37,46.32,"2,225,170"
08/20/2007,47.20,47.24,46.09,46.37,"881,568"
08/21/2007,46.32,47.10,45.36,45.36,"1,540,328"
08/22/2007,46.18,48.44,46.14,48.44,"2,400,435"
08/23/2007,48.90,49.27,48.07,48.44,"1,400,320"
08/24/2007,48.30,48.81,47.70,48.81,"713,349"
08/27/2007,48.81,49.23,48.53,48.90,"664,241"
08/28/2007,48.21,49.64,48.21,48.81,"920,630"
08/29/2007,48.21,49.64,48.17,49.64,"826,951"
08/30/2007,49.92,50.29,46.87,47.98,"1,463,507"
08/31/2007,49.00,49.92,48.49,49.50,"1,312,360"
09/03/2007,48.95,49.41,48.90,49.13,"591,402"
09/04/2007,48.90,49.64,48.26,49.64,"485,177"
09/05/2007,49.09,49.32,48.35,48.44,"918,004"
09/06/2007,48.44,49.18,47.75,47.75,"2,073,192"
09/07/2007,47.75,48.58,46.69,47.06,"1,440,433"
09/10/2007,47.01,47.20,45.86,45.86,"1,110,395"
09/11/2007,46.04,47.01,46.04,46.55,"792,939"
09/12/2007,46.50,48.35,46.50,48.21,"945,733"
09/13/2007,48.07,49.64,47.57,49.00,"1,561,337"
09/14/2007,49.00,49.37,48.44,48.44,"1,498,139"
09/17/2007,48.07,49.37,48.07,49.37,"893,805"
09/18/2007,49.32,49.87,49.09,49.64,"978,243"
09/19/2007,50.89,52.09,50.89,52.09,"1,776,437"
09/20/2007,51.49,52.36,51.49,52.23,"894,784"
09/21/2007,51.95,52.59,51.21,51.30,"2,489,371"
09/24/2007,51.16,51.90,50.75,50.75,"791,924"
09/25/2007,50.38,50.66,49.41,49.78,"1,006,003"
09/26/2007,49.92,50.75,49.92,50.29,"1,124,044"
09/27/2007,50.75,51.86,50.47,50.47,"1,753,328"
09/28/2007,50.56,51.58,50.47,50.93,"942,316"
10/01/2007,50.75,51.12,49.73,50.89,"628,295"
10/02/2007,51.40,52.27,51.40,51.95,"3,045,731"
10/03/2007,51.67,51.67,51.03,51.49,"1,462,540"
10/04/2007,50.84,51.21,50.43,50.66,"2,481,638"
10/05/2007,50.75,51.12,50.43,50.80,"1,982,061"
10/08/2007,50.70,50.84,50.01,50.75,"845,449"
10/09/2007,50.33,51.95,50.33,51.53,"3,022,379"
10/10/2007,51.58,52.64,51.44,51.81,"2,790,034"
10/11/2007,52.23,52.55,51.58,52.13,"1,106,105"
10/12/2007,51.67,52.59,51.40,51.58,"1,753,886"
10/15/2007,51.72,52.09,51.49,51.67,"1,093,435"
10/16/2007,50.89,51.21,50.01,50.01,"1,352,174"
10/17/2007,50.29,50.89,50.15,50.75,"1,535,853"
10/18/2007,50.66,50.70,49.09,49.41,"1,359,003"
10/19/2007,49.46,50.38,49.41,50.33,"1,199,651"
10/22/2007,49.37,50.70,48.90,50.52,"872,694"
10/23/2007,50.56,52.13,50.47,52.13,"2,172,262"
10/24/2007,51.58,51.67,51.07,51.21,"1,464,047"
10/25/2007,51.49,52.13,50.70,51.86,"1,445,671"
10/26/2007,51.49,52.09,50.75,51.35,"887,521"
10/29/2007,51.81,52.27,51.40,51.67,"771,677"
10/30/2007,51.49,51.90,51.30,51.90,"434,816"
10/31/2007,51.26,52.09,50.93,51.21,"729,981"
11/02/2007,50.75,51.21,50.15,50.29,"955,397"
11/05/2007,50.29,50.38,49.64,50.38,"1,131,601"
11/06/2007,50.29,51.49,50.24,50.75,"1,196,352"
11/07/2007,50.80,51.35,49.50,49.69,"2,112,878"
11/08/2007,48.90,49.32,48.17,48.63,"1,675,507"
11/09/2007,50.10,50.29,47.80,49.46,"5,449,807"
11/12/2007,48.44,48.90,48.26,48.26,"1,280,983"
11/13/2007,48.26,50.29,48.17,49.64,"1,345,590"
11/14/2007,50.06,50.10,47.98,47.98,"2,125,366"
11/15/2007,48.21,49.00,47.20,47.98,"1,949,580"
11/16/2007,47.84,48.21,46.87,47.52,"2,422,583"
11/19/2007,47.80,48.35,47.15,47.61,"1,527,313"
11/20/2007,47.43,48.35,46.92,48.17,"1,515,518"
11/21/2007,47.34,47.98,47.24,47.43,"2,003,919"
11/22/2007,47.61,48.26,46.97,47.98,"2,668,204"
11/23/2007,47.98,48.12,47.66,47.80,"861,874"
11/26/2007,48.03,48.17,47.06,47.52,"1,864,940"
11/27/2007,47.06,47.06,46.04,46.46,"1,602,757"
11/28/2007,46.23,47.24,45.86,47.24,"1,463,658"
11/29/2007,47.80,48.17,46.87,47.24,"1,371,165"
11/30/2007,47.52,48.03,46.23,46.23,"990,103"
12/03/2007,47.34,47.47,45.91,47.06,"962,020"
12/04/2007,46.87,47.57,46.46,47.38,"435,257"
12/05/2007,47.61,49.27,47.52,48.72,"1,928,787"
12/06/2007,48.63,50.20,48.58,48.58,"1,619,411"
12/07/2007,49.50,50.56,49.00,49.83,"2,402,795"
12/10/2007,49.83,51.40,49.64,50.33,"2,346,455"
12/11/2007,50.43,50.75,50.24,50.56,"1,767,643"
12/12/2007,49.83,50.89,49.41,50.61,"1,593,624"
12/13/2007,49.83,50.10,48.49,49.09,"1,451,598"
12/14/2007,49.09,49.23,47.61,47.98,"1,250,036"
12/17/2007,47.52,47.75,46.23,46.23,"1,384,084"
12/18/2007,46.87,47.89,45.67,46.60,"1,867,219"
12/19/2007,46.83,47.75,46.37,46.60,"2,548,765"
12/20/2007,46.60,47.38,46.41,47.24,"1,168,122"
12/21/2007,47.89,49.27,47.52,48.17,"4,092,111"
12/27/2007,48.44,49.87,48.44,49.87,"863,233"
12/28/2007,48.95,49.37,48.03,48.53,"1,142,514"
01/02/2008,48.07,48.63,46.97,46.97,"1,030,343"
01/03/2008,47.06,47.06,46.27,46.60,"1,443,652"
01/04/2008,46.69,46.97,45.44,46.03,"911,961"
01/07/2008,45.86,46.07,44.53,44.89,"1,456,786"
01/08/2008,45.21,45.49,44.77,45.21,"2,513,683"
01/09/2008,44.52,44.75,43.18,44.29,"3,320,172"
01/10/2008,43.55,44.11,42.58,43.28,"2,232,509"
01/11/2008,42.49,44.11,42.49,42.64,"1,633,276"
01/14/2008,42.45,42.54,40.98,42.06,"2,736,311"
01/15/2008,41.25,42.75,41.08,41.29,"1,996,684"
01/16/2008,38.75,41.98,38.75,39.68,"4,643,961"
01/17/2008,40.69,41.06,38.57,40.97,"3,656,149"
01/18/2008,40.18,42.08,40.18,41.98,"3,076,073"
01/21/2008,41.28,41.47,37.93,37.93,"3,449,657"
01/22/2008,36.08,40.54,35.64,39.03,"4,167,475"
01/23/2008,39.77,40.51,38.29,39.03,"5,905,828"
01/24/2008,40.42,41.43,39.78,41.25,"3,451,658"
01/25/2008,41.54,42.08,40.97,41.98,"3,467,810"
01/28/2008,41.25,41.98,40.60,41.38,"1,727,055"
01/29/2008,41.53,43.03,41.53,43.03,"1,416,448"
01/30/2008,42.91,43.31,41.98,42.45,"1,930,899"
01/31/2008,41.94,42.45,40.78,41.25,"1,954,075"
02/01/2008,41.52,42.03,41.29,41.63,"1,247,579"
02/04/2008,42.08,42.44,41.26,41.52,"1,056,538"
02/05/2008,41.26,41.60,39.22,39.77,"2,037,365"
02/06/2008,39.31,39.58,38.48,39.11,"2,036,866"
02/07/2008,38.77,39.01,37.55,38.66,"1,541,096"
02/08/2008,38.77,39.03,37.83,38.75,"1,517,078"
02/11/2008,38.85,40.55,38.58,39.69,"1,775,761"
02/12/2008,40.42,41.52,39.89,41.06,"3,361,161"
02/13/2008,40.88,41.33,40.37,41.06,"1,995,089"
02/14/2008,42.45,42.92,41.73,42.28,"3,157,152"
02/15/2008,42.25,42.25,40.82,41.52,"1,344,441"
02/18/2008,41.49,43.28,41.49,42.91,"1,462,240"
02/19/2008,42.53,43.60,42.12,43.23,"1,320,253"
02/20/2008,42.44,43.28,41.66,43.28,"1,732,884"
02/21/2008,43.30,43.54,41.98,42.16,"1,515,983"
02/22/2008,41.82,41.97,40.92,40.92,"1,656,879"
02/25/2008,41.47,41.61,39.82,40.31,"1,883,767"
02/26/2008,40.42,41.05,39.35,39.62,"1,969,831"
02/27/2008,39.70,40.00,38.94,39.46,"2,011,848"
02/28/2008,39.67,39.77,38.75,39.68,"1,350,435"
02/29/2008,39.68,40.19,38.75,38.75,"1,682,177"
03/03/2008,38.04,38.62,37.47,38.29,"2,136,650"
03/04/2008,38.32,38.56,37.83,37.92,"1,162,462"
