Date,Open,High,Low,Close
07/02/2007,"1,519.43","1,519.45","1,504.66","1,519.43"
07/03/2007,"1,524.87","1,526.01","1,519.12","1,524.87"
07/05/2007,"1,525.40","1,526.57","1,517.72","1,525.40"
07/06/2007,"1,530.44","1,532.40","1,520.47","1,530.44"
07/09/2007,"1,531.85","1,534.21","1,527.53","1,531.85"
07/10/2007,"1,510.12","1,531.85","1,510.06","1,510.12"
07/11/2007,"1,518.76","1,519.27","1,506.64","1,518.76"
07/12/2007,"1,547.70","1,547.91","1,518.74","1,547.70"
07/13/2007,"1,552.50","1,555.10","1,544.85","1,552.50"
07/16/2007,"1,549.52","1,555.90","1,546.69","1,549.52"
07/17/2007,"1,549.37","1,555.22","1,547.91","1,549.37"
07/18/2007,"1,546.17","1,549.20","1,533.68","1,546.17"
07/19/2007,"1,553.08","1,555.24","1,546.13","1,553.08"
07/20/2007,"1,534.10","1,553.19","1,529.47","1,534.10"
07/23/2007,"1,541.57","1,547.02","1,534.06","1,541.57"
07/24/2007,"1,511.04","1,541.57","1,508.74","1,511.04"
07/25/2007,"1,518.09","1,524.31","1,503.91","1,518.09"
07/26/2007,"1,482.66","1,518.09","1,465.95","1,482.66"
07/27/2007,"1,458.95","1,487.93","1,458.95","1,458.95"
07/30/2007,"1,473.91","1,477.69","1,454.24","1,473.91"
07/31/2007,"1,455.27","1,488.40","1,454.22","1,455.27"
08/01/2007,"1,465.81","1,467.80","1,439.64","1,465.81"
08/02/2007,"1,472.20","1,476.13","1,460.73","1,472.20"
08/03/2007,"1,433.06","1,473.15","1,432.81","1,433.06"
08/06/2007,"1,467.67","1,467.67","1,427.36","1,467.67"
08/07/2007,"1,476.71","1,488.42","1,456.90","1,476.71"
08/08/2007,"1,497.49","1,503.41","1,476.22","1,497.49"
08/09/2007,"1,453.09","1,497.21","1,453.09","1,453.09"
08/10/2007,"1,453.64","1,462.02","1,429.74","1,453.64"
08/13/2007,"1,452.92","1,466.29","1,451.54","1,452.92"
08/14/2007,"1,426.54","1,456.74","1,426.20","1,426.54"
08/15/2007,"1,406.70","1,440.78","1,404.36","1,406.70"
08/16/2007,"1,411.27","1,415.97","1,370.60","1,411.27"
08/17/2007,"1,445.94","1,450.33","1,411.26","1,445.94"
08/20/2007,"1,445.55","1,451.75","1,430.54","1,445.55"
08/21/2007,"1,447.12","1,455.32","1,439.76","1,447.12"
08/22/2007,"1,464.07","1,464.86","1,447.03","1,464.07"
08/23/2007,"1,462.50","1,472.64","1,453.88","1,462.50"
08/24/2007,"1,479.37","1,479.40","1,460.54","1,479.37"
08/27/2007,"1,466.79","1,479.36","1,465.98","1,466.79"
08/28/2007,"1,432.36","1,466.72","1,432.01","1,432.36"
08/29/2007,"1,463.76","1,463.76","1,432.01","1,463.76"
08/30/2007,"1,457.64","1,468.43","1,451.25","1,457.64"
08/31/2007,"1,473.99","1,481.47","1,457.61","1,473.99"
09/04/2007,"1,489.42","1,496.40","1,472.15","1,489.42"
09/05/2007,"1,472.29","1,488.76","1,466.34","1,472.29"
09/06/2007,"1,478.55","1,481.49","1,467.41","1,478.55"
09/07/2007,"1,453.55","1,478.55","1,449.07","1,453.55"
09/10/2007,"1,451.70","1,462.25","1,439.29","1,451.70"
09/11/2007,"1,471.49","1,472.48","1,451.69","1,471.49"
09/12/2007,"1,471.56","1,479.50","1,465.75","1,471.56"
09/13/2007,"1,483.95","1,489.58","1,471.47","1,483.95"
09/14/2007,"1,484.25","1,485.99","1,473.18","1,484.25"
09/17/2007,"1,476.65","1,484.24","1,471.82","1,476.65"
09/18/2007,"1,519.78","1,519.89","1,476.63","1,519.78"
09/19/2007,"1,529.03","1,538.74","1,519.75","1,529.03"
09/20/2007,"1,518.75","1,529.14","1,516.42","1,518.75"
09/21/2007,"1,525.75","1,530.89","1,518.75","1,525.75"
09/24/2007,"1,517.73","1,530.18","1,516.15","1,517.73"
09/25/2007,"1,517.21","1,518.27","1,507.13","1,517.21"
09/26/2007,"1,525.42","1,529.39","1,518.62","1,525.42"
09/27/2007,"1,531.38","1,532.46","1,525.81","1,531.38"
09/28/2007,"1,526.75","1,533.74","1,521.99","1,526.75"
10/01/2007,"1,547.04","1,549.02","1,527.25","1,547.04"
10/02/2007,"1,546.63","1,548.01","1,540.37","1,546.63"
10/03/2007,"1,539.60","1,545.84","1,536.34","1,539.60"
10/04/2007,"1,542.84","1,544.02","1,537.63","1,542.84"
10/05/2007,"1,557.59","1,561.91","1,543.84","1,557.59"
10/08/2007,"1,552.58","1,556.51","1,549.00","1,552.58"
10/09/2007,"1,565.15","1,565.27","1,551.81","1,565.15"
10/10/2007,"1,562.47","1,565.36","1,555.46","1,562.47"
10/11/2007,"1,554.41","1,576.09","1,546.72","1,554.41"
10/12/2007,"1,561.80","1,563.03","1,554.09","1,561.80"
10/15/2007,"1,548.71","1,564.74","1,540.81","1,548.71"
10/16/2007,"1,538.53","1,547.81","1,536.29","1,538.53"
10/17/2007,"1,541.24","1,550.66","1,526.01","1,541.24"
10/18/2007,"1,540.08","1,542.79","1,531.76","1,540.08"
10/19/2007,"1,500.63","1,540.00","1,500.26","1,500.63"
10/22/2007,"1,506.33","1,508.06","1,490.40","1,506.33"
10/23/2007,"1,519.59","1,520.01","1,503.61","1,519.59"
10/24/2007,"1,515.88","1,517.23","1,489.56","1,515.88"
10/25/2007,"1,514.40","1,523.24","1,500.46","1,514.40"
10/26/2007,"1,535.28","1,535.53","1,520.18","1,535.28"
10/29/2007,"1,540.98","1,544.67","1,536.43","1,540.98"
10/30/2007,"1,531.02","1,539.42","1,529.55","1,531.02"
10/31/2007,"1,549.38","1,552.76","1,529.40","1,549.38"
11/01/2007,"1,508.44","1,545.79","1,506.66","1,508.44"
11/02/2007,"1,509.65","1,513.15","1,492.53","1,509.65"
11/05/2007,"1,502.17","1,510.84","1,489.95","1,502.17"
11/06/2007,"1,520.27","1,520.77","1,499.07","1,520.27"
11/07/2007,"1,475.62","1,515.46","1,475.04","1,475.62"
11/08/2007,"1,474.77","1,482.50","1,450.31","1,474.77"
11/09/2007,"1,453.70","1,474.09","1,448.51","1,453.70"
11/12/2007,"1,439.18","1,464.94","1,438.53","1,439.18"
11/13/2007,"1,481.05","1,481.37","1,441.35","1,481.05"
11/14/2007,"1,470.58","1,492.14","1,466.47","1,470.58"
11/15/2007,"1,451.15","1,472.67","1,443.49","1,451.15"
11/16/2007,"1,458.74","1,462.18","1,443.99","1,458.74"
11/19/2007,"1,433.27","1,456.70","1,430.42","1,433.27"
11/20/2007,"1,439.70","1,452.64","1,419.28","1,439.70"
11/21/2007,"1,416.77","1,436.40","1,415.64","1,416.77"
11/23/2007,"1,440.70","1,440.86","1,417.62","1,440.70"
11/26/2007,"1,407.22","1,446.09","1,406.10","1,407.22"
11/27/2007,"1,428.23","1,429.49","1,407.43","1,428.23"
11/28/2007,"1,469.02","1,471.62","1,432.95","1,469.02"
11/29/2007,"1,469.72","1,473.81","1,458.36","1,469.72"
11/30/2007,"1,481.14","1,488.74","1,469.72","1,481.14"
12/03/2007,"1,472.42","1,481.16","1,470.08","1,472.42"
12/04/2007,"1,462.79","1,471.34","1,460.66","1,462.79"
12/05/2007,"1,485.01","1,485.85","1,462.06","1,485.01"
12/06/2007,"1,507.34","1,508.02","1,482.19","1,507.34"
12/07/2007,"1,504.66","1,510.41","1,502.71","1,504.66"
12/10/2007,"1,515.96","1,518.27","1,504.96","1,515.96"
12/11/2007,"1,477.65","1,523.57","1,475.99","1,477.65"
12/12/2007,"1,486.59","1,511.96","1,468.23","1,486.59"
12/13/2007,"1,488.41","1,489.40","1,469.21","1,488.41"
12/14/2007,"1,467.95","1,488.39","1,467.87","1,467.95"
12/17/2007,"1,445.90","1,467.95","1,445.46","1,445.90"
12/18/2007,"1,454.98","1,460.16","1,435.65","1,454.98"
12/19/2007,"1,453.00","1,464.40","1,445.49","1,453.00"
12/20/2007,"1,460.12","1,461.53","1,447.22","1,460.12"
12/21/2007,"1,484.46","1,485.40","1,463.19","1,484.46"
12/24/2007,"1,496.45","1,497.63","1,484.55","1,496.45"
12/26/2007,"1,497.66","1,498.85","1,488.20","1,497.66"
12/27/2007,"1,476.37","1,495.05","1,475.86","1,476.37"
12/28/2007,"1,478.49","1,487.90","1,471.74","1,478.49"
12/31/2007,"1,468.36","1,475.83","1,465.13","1,468.36"
01/02/2008,"1,447.16","1,471.77","1,442.07","1,447.16"
01/03/2008,"1,447.16","1,456.80","1,443.73","1,447.16"
01/04/2008,"1,411.63","1,444.01","1,411.19","1,411.63"
01/07/2008,"1,417.97","1,423.87","1,403.45","1,416.18"
01/08/2008,"1,422.15","1,430.28","1,388.30","1,390.19"
01/09/2008,"1,390.43","1,409.19","1,378.70","1,409.13"
01/10/2008,"1,397.54","1,429.07","1,395.30","1,420.33"
01/11/2008,"1,406.91","1,419.91","1,394.83","1,401.02"
01/14/2008,"1,412.87","1,417.89","1,402.91","1,416.25"
01/15/2008,"1,397.73","1,411.88","1,380.60","1,380.95"
01/16/2008,"1,373.27","1,391.99","1,364.27","1,373.20"
01/17/2008,"1,374.79","1,377.72","1,330.67","1,333.25"
01/18/2008,"1,333.94","1,350.28","1,312.51","1,325.19"
01/22/2008,"1,266.79","1,322.09","1,274.29","1,310.50"
01/23/2008,"1,277.56","1,339.09","1,270.05","1,338.60"
01/24/2008,"1,344.92","1,355.15","1,334.31","1,352.07"
01/25/2008,"1,368.56","1,368.56","1,327.50","1,330.61"
01/28/2008,"1,334.17","1,353.97","1,322.26","1,353.97"
01/29/2008,"1,363.33","1,364.93","1,350.19","1,362.30"
01/30/2008,"1,356.60","1,385.86","1,352.95","1,355.81"
01/31/2008,"1,334.92","1,385.62","1,334.08","1,378.55"
02/01/2008,"1,381.72","1,396.02","1,375.93","1,395.42"
02/04/2008,"1,395.27","1,395.38","1,379.69","1,380.82"
02/05/2008,"1,357.26","1,380.28","1,336.64","1,336.64"
02/06/2008,"1,346.80","1,351.96","1,324.34","1,326.45"
02/07/2008,"1,321.09","1,347.16","1,316.75","1,336.91"
02/08/2008,"1,331.34","1,341.22","1,321.06","1,331.29"
02/11/2008,"1,331.23","1,341.40","1,320.32","1,339.13"
02/12/2008,"1,346.93","1,362.10","1,339.36","1,348.86"
02/13/2008,"1,360.01","1,369.23","1,350.78","1,367.21"
02/14/2008,"1,368.16","1,368.16","1,347.31","1,348.86"
02/15/2008,"1,347.20","1,350.00","1,338.13","1,349.99"
02/19/2008,"1,366.84","1,367.28","1,345.05","1,348.78"
02/20/2008,"1,338.56","1,363.71","1,336.55","1,360.03"
02/21/2008,"1,364.30","1,367.94","1,339.34","1,342.53"
02/22/2008,"1,344.22","1,354.30","1,327.04","1,353.11"
02/25/2008,"1,352.75","1,374.36","1,346.03","1,371.80"
02/26/2008,"1,371.76","1,387.34","1,363.29","1,381.29"
02/27/2008,"1,378.95","1,388.34","1,372.00","1,380.02"
02/28/2008,"1,378.16","1,378.16","1,363.16","1,367.68"
02/29/2008,"1,354.12","1,364.07","1,325.42","1,330.63"
03/03/2008,"1,329.68","1,335.13","1,320.04","1,331.34"
03/04/2008,"1,320.75","1,331.03","1,307.39","1,326.75"
03/05/2008,"1,330.32","1,344.19","1,320.22","1,333.70"
03/06/2008,"1,329.23","1,332.20","1,303.42","1,304.34"
03/07/2008,"1,294.66","1,313.24","1,282.43","1,293.37"
03/10/2008,"1,293.68","1,295.01","1,272.66","1,273.37"
03/11/2008,"1,301.40","1,320.65","1,274.40","1,320.65"
03/12/2008,"1,322.23","1,333.26","1,307.86","1,308.77"
03/13/2008,"1,291.34","1,321.68","1,282.11","1,315.48"
03/14/2008,"1,319.78","1,321.47","1,274.86","1,288.14"
03/17/2008,"1,283.21","1,287.50","1,256.98","1,276.60"
03/18/2008,"1,302.22","1,330.74","1,277.16","1,330.74"
03/19/2008,"1,334.63","1,341.51","1,298.42","1,298.42"
03/20/2008,"1,299.67","1,330.67","1,295.22","1,329.51"
03/24/2008,"1,333.66","1,359.68","1,330.29","1,349.88"
03/25/2008,"1,351.42","1,357.47","1,341.21","1,352.99"
03/26/2008,"1,343.93","1,352.45","1,336.41","1,341.13"
03/27/2008,"1,345.62","1,345.62","1,325.66","1,325.76"
03/28/2008,"1,327.02","1,334.87","1,312.95","1,315.22"
03/31/2008,"1,314.42","1,328.52","1,312.81","1,322.70"
04/01/2008,"1,340.94","1,370.18","1,326.41","1,370.18"
04/02/2008,"1,373.15","1,377.95","1,361.55","1,367.53"
04/03/2008,"1,359.71","1,375.66","1,358.68","1,369.31"
04/04/2008,"1,370.56","1,380.91","1,362.83","1,370.40"
04/07/2008,"1,381.19","1,386.74","1,369.02","1,372.54"
04/08/2008,"1,362.61","1,370.16","1,360.62","1,365.54"
04/09/2008,"1,365.43","1,368.39","1,349.97","1,354.49"
04/10/2008,"1,355.21","1,367.24","1,350.11","1,360.55"
04/11/2008,"1,343.58","1,357.98","1,331.21","1,332.83"
04/14/2008,"1,331.83","1,335.64","1,326.16","1,328.32"
04/15/2008,"1,337.59","1,337.72","1,324.35","1,334.43"
04/16/2008,"1,346.43","1,365.49","1,337.02","1,364.71"
04/17/2008,"1,360.18","1,368.60","1,357.25","1,365.56"
04/18/2008,"1,391.12","1,395.90","1,369.00","1,390.33"
